receiptId,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId,barcode,brandCode,competitiveProduct,competitorRewardsGroup,deleted,description,discountedItemPrice,finalPrice,itemNumber,itemPrice,metabriteCampaignId,needsFetchReview,needsFetchReviewReason,originalFinalPrice,originalMetaBriteBarcode,originalMetaBriteDescription,originalMetaBriteItemPrice,originalMetaBriteQuantityPurchased,originalReceiptItemText,partnerItemId,pointsEarnedReceipt,pointsNotAwardedReason,pointsPayerId,preventTargetGapPoints,priceAfterCoupon,quantityPurchased,rewardsGroup,rewardsProductPartnerId,targetPrice,userFlaggedBarcode,userFlaggedDescription,userFlaggedNewItem,userFlaggedPrice,userFlaggedQuantity
5ff1e1eb0a720f0523000575,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:25:31,2021-01-03 15:25:31,2021-01-03 15:25:31,2021-01-03 15:25:36,2021-01-03 15:25:31,500.0,2021-01-03 00:00:00,5.0,FINISHED,26.00,5ff1e1eacfcf6c399c274ae6,4011,,,,,ITEM NOT FOUND,,26.00,,26.00,,False,,,,,,,,1,,,,True,,5.0,,,,4011,,True,26.00,5.0
5ff1e1bb0a720f052300056b,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:43,2021-01-03 15:24:43,2021-01-03 15:24:43,2021-01-03 15:24:48,2021-01-03 15:24:43,150.0,2021-01-02 15:24:43,2.0,FINISHED,11.00,5ff1e194b6a9d73a3a9f1052,4011,,,,,ITEM NOT FOUND,,1,,1,,,,,,,,,,1,,,,,,1.0,,,,,,,,
5ff1e1bb0a720f052300056b,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:43,2021-01-03 15:24:43,2021-01-03 15:24:43,2021-01-03 15:24:48,2021-01-03 15:24:43,150.0,2021-01-02 15:24:43,2.0,FINISHED,11.00,5ff1e194b6a9d73a3a9f1052,028400642255,,,,,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,,10.00,,10.00,,True,USER_FLAGGED,,,,,,,2,,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,True,,1.0,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,True,10.00,1.0
5ff1e1f10a720f052300057a,5.0,All-receipts receipt bonus,2021-01-03 15:25:37,2021-01-03 15:25:37,,2021-01-03 15:25:42,,5,2021-01-03 00:00:00,1.0,REJECTED,10.00,5ff1e1f1cfcf6c399c274b0b,,,,,,,,,,,,False,,,,,,,,1,,,,True,,,,,,4011,,True,26.00,3.0
5ff1e1ee0a7214ada100056f,5.0,All-receipts receipt bonus,2021-01-03 15:25:34,2021-01-03 15:25:34,2021-01-03 15:25:34,2021-01-03 15:25:39,2021-01-03 15:25:34,5.0,2021-01-03 00:00:00,4.0,FINISHED,28.00,5ff1e1eacfcf6c399c274ae6,4011,,,,,ITEM NOT FOUND,,28.00,,28.00,,False,,,,,,,,1,,,,True,,4.0,,,,4011,,True,28.00,4.0
5ff1e1d20a7214ada1000561,5.0,All-receipts receipt bonus,2021-01-03 15:25:06,2021-01-03 15:25:06,2021-01-03 15:25:11,2021-01-03 15:25:11,2021-01-03 15:25:06,5.0,2021-01-02 15:25:06,2.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,4011,,,,,ITEM NOT FOUND,,1,,1,,,,,,,,,,1,,,,,,1.0,,,,,,,,
5ff1e1d20a7214ada1000561,5.0,All-receipts receipt bonus,2021-01-03 15:25:06,2021-01-03 15:25:06,2021-01-03 15:25:11,2021-01-03 15:25:11,2021-01-03 15:25:06,5.0,2021-01-02 15:25:06,2.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,1234,,,,,,,2.56,,2.56,,True,USER_FLAGGED,,,,,,,2,,,,True,,3.0,,,,1234,,True,2.56,3.0
5ff1e1e40a7214ada1000566,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:25:24,2021-01-03 15:25:24,2021-01-03 15:25:25,2021-01-03 15:25:30,2021-01-03 15:25:25,750.0,2021-01-02 15:25:24,1.0,FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3,4011,,,,,ITEM NOT FOUND,,3.25,,3.25,,False,,,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,,,,1,,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,True,,1.0,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,,4011,,,,
5ff1e1cd0a720f052300056f,5.0,All-receipts receipt bonus,2021-01-03 15:25:01,2021-01-03 15:25:01,2021-01-03 15:25:02,2021-01-03 15:25:02,2021-01-03 15:25:02,5.0,2021-01-03 15:25:01,1.0,FINISHED,2.23,5ff1e194b6a9d73a3a9f1052,,MISSION,,TACO BELL TACO SHELLS,,MSSN TORTLLA,2.23,2.23,,2.23,,,,,,,,,MSSN TORTLLA,1009,,,,,,1.0,,,,,,,,
5ff1e1a40a720f0523000569,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:20,2021-01-03 15:24:20,2021-01-03 15:24:21,2021-01-03 15:24:21,2021-01-03 15:24:21,500.0,2020-12-27 00:00:00,1.0,FINISHED,10.00,5ff1e194b6a9d73a3a9f1052,046000832517,BRAND,,,,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",,10.00,,10.00,,,,,,,,,,0,,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,,,1.0,OLD EL PASO BEANS & PEPPERS,5332f5f3e4b03c9a25efd0ae,,,,,,
